id,nombre,distrito,lat,lon,x_m,y_m,altitud_m,col,fila,funerario
25,Viento Uta,juli,-16.197638321,-69.396130215,7111.7,4217.7,3822.1,1136,659,False
26,Putukopata,juli,-16.197516316,-69.393678846,7373.4,4231.2,3834.2,1144,658,False
27,Pata Pata,juli,-16.198349284,-69.392978836,7448.2,4138.6,3830.0,1147,661,False
28,Kalachuhuaniparke,juli,-16.196042849,-69.393657212,7375.7,4395.1,3857.4,1145,653,False
29,Tasak Parke,juli,-16.206685868,-69.451244855,1227.7,3211.6,3861.1,937,691,False
30,Apacheta,juli,-16.203280082,-69.41925006,4643.4,3590.3,3938.0,1052,679,False
31,Mulla,juli,-16.176528813,-69.540510328,-8302.4,6564.9,3822.4,616,583,False
32,Contiuyo,juli,-16.179478537,-69.542978563,-8565.9,6236.9,3842.4,607,593,False
33,Ccoroskani,juli,-16.177916041,-69.538877087,-8128.0,6410.7,3839.6,622,588,False
34,Chocchoni,juli,-16.186953322,-69.532690018,-7467.5,5405.8,3819.5,644,620,False
35,Cutini  Montículo Artificial 1,juli,-16.191558352,-69.531177503,-7306.0,4893.7,3819.0,649,637,False
36,Cutini Montículo Artificial 2,juli,-16.191741038,-69.530420235,-7225.1,4873.4,3817.7,652,638,False
37,Yacari Tuntachawi  Chullpa1,juli,-16.238632478,-69.459757905,318.8,-340.7,3929.8,907,806,True
38,Yacari Tuntachawi  Chullpa 2,juli,-16.238622059,-69.460394177,250.9,-339.5,3946.6,904,806,True
39,Yacari Tuntachawi  Chullpa 3,juli,-16.240599044,-69.461652669,116.5,-559.4,3977.9,900,813,True
40,Santiago Chambilla  Montículo Artificial 1,juli,-16.185400425,-69.524631439,-6607.1,5578.4,3813.8,673,615,False
41,Santiago Chambilla  Montículo Artificial 2,juli,-16.185457359,-69.523537086,-6490.3,5572.1,3813.4,677,615,False
42,Santiago Chambilla - Montículo Artificial 3,juli,-16.203891407,-69.515352763,-5616.5,3522.3,3814.6,706,681,False
43,Inca Samaña,juli,-16.214278185,-69.519037985,-6010.0,2367.4,3830.0,693,719,False
44,Siquejaque,juli,-16.215580571,-69.52245639,-6374.9,2222.6,3893.4,681,723,False
45,Anko Ake,juli,-16.280636899,-69.48563108,-2443.4,-5011.4,3914.9,813,958,False
46,Umahalso,juli,-16.276825658,-69.484086815,-2278.6,-4587.6,3891.3,819,944,False
47,Sivincata,juli,-16.275732366,-69.483859518,-2254.3,-4466.0,3886.7,820,940,False
48,Kanllacirca - Anko Ake,juli,-16.26696894,-69.485560042,-2435.9,-3491.6,3876.3,814,908,False
49,Sullicane,juli,-16.248707277,-69.482174478,-2074.4,-1461.0,3838.0,826,843,False
50,Palermo,juli,-16.234776181,-69.482514827,-2110.7,88.1,3870.6,825,792,False
51,Pampa Palermo,juli,-16.233452726,-69.488060329,-2702.8,235.3,3825.9,805,788,False
52,Qanllapünqu,juli,-16.248201512,-69.501459531,-4133.3,-1404.7,3863.9,756,841,False
53,Caspa Qolpajavira,juli,-16.247693184,-69.502347224,-4228.1,-1348.2,3869.1,753,839,False
54,Patjatapatja Colina 1,juli,-16.247039239,-69.503646279,-4366.7,-1275.5,3878.4,749,837,False
55,Patjatapatja Colina 1 - Estructura,juli,-16.245566055,-69.503520881,-4353.4,-1111.7,3863.4,749,831,False
56,Patjatapatja Colina 1 - Cementerio,juli,-16.246225576,-69.503681638,-4370.5,-1185.0,3873.2,748,834,False
57,Patjatapatja Colina 2,juli,-16.248058502,-69.504584644,-4466.9,-1388.8,3876.9,745,840,False
58,Hanko Pünqu,juli,-16.249441443,-69.504644318,-4473.3,-1542.6,3875.1,745,845,False
59,Taypiqollo,juli,-16.248476892,-69.507299453,-4756.8,-1435.3,3868.0,735,842,False
60,Colle Pünqu,juli,-16.245473154,-69.508358516,-4869.8,-1101.3,3858.1,732,831,False
61,Capilla Pünqu,juli,-16.245743199,-69.505055977,-4517.2,-1131.4,3861.4,743,832,False
62,Arpünqu,juli,-16.2431101,-69.50611601,-4630.4,-838.6,3847.7,740,822,False
63,Umajalaca Muluyo,juli,-16.244002673,-69.51087191,-5138.2,-937.8,3855.6,723,826,False
64,Luluchinapünqu,juli,-16.245285454,-69.511230809,-5176.5,-1080.5,3862.6,721,830,False
65,Morocollo Jisk`a y Morocollo Jach`a,juli,-16.244317123,-69.511677468,-5224.2,-972.8,3858.5,720,827,False
66,Qanllapünqu  Sikecaballune,juli,-16.241582632,-69.513532521,-5422.2,-668.7,3850.5,713,817,False
67,Urno Parque,juli,-16.242776933,-69.516820083,-5773.2,-801.5,3898.9,701,821,False
68,Quinsa Pünqu Montículo 1,juli,-16.238209372,-69.514122633,-5485.2,-293.6,3843.8,711,805,False
69,Quinsa Pünqu Montículo 2,juli,-16.238091016,-69.514468543,-5522.1,-280.5,3846.1,710,804,False
70,Quinsa Pünqu Montículo 3,juli,-16.237856574,-69.514224646,-5496.1,-254.4,3846.1,710,804,False
71,Asiruni Pünqu,juli,-16.238368908,-69.515433061,-5625.1,-311.4,3851.4,706,805,False
72,Crucero,juli,-16.23868656,-69.511176336,-5170.7,-346.7,3842.1,721,807,False
73,Huerta Parque,juli,-16.241841936,-69.510969264,-5148.6,-697.6,3846.6,722,818,False
74,Julipünqu,juli,-16.239624956,-69.508137635,-4846.2,-451.0,3841.8,732,810,False
