nombre,provincia,distrito,lat,lon,fuente,funerario
Qolpajavira  Montículo 1,chucuito,juli,-16.242861471,-69.500416678,INC,False
Qolpajavira Montículo 2,chucuito,juli,-16.242932464,-69.500978305,INC,False
Qolpajavira Montículo 3,chucuito,juli,-16.243240035,-69.500885509,INC,False
Alatauyo  Naironaque 3,chucuito,juli,-16.21810281,-69.451429892,INC,False
Santa Bárbara,chucuito,juli,-16.219455174,-69.453126484,INC,False
Olla  Colina,chucuito,juli,-16.181864949,-69.432600743,INC,False
Coyaputunku  Yacari,chucuito,juli,-16.232794221,-69.442050167,INC,False
Anko Vilque,chucuito,juli,-16.235067374,-69.440052807,INC,False
Takaya  Anko Vilque,chucuito,juli,-16.232945299,-69.43455549,INC,False
Quebrada de Takaya,chucuito,juli,-16.231915316,-69.434281876,INC,False
Gentilmoko  Yacari,chucuito,juli,-16.232183511,-69.444462918,INC,True
Suancata -Murallas,chucuito,juli,-16.215422286,-69.527976097,INC,False
Anko Vilque  Montículo,chucuito,juli,-16.232128356,-69.436191179,INC,False
Julipünqu de Caspapatac,chucuito,juli,-16.243406038,-69.499491663,INC,False
Caspapatac Tumba,chucuito,juli,-16.243116041,-69.499799728,INC,False
Caspapatac Montículo 1,chucuito,juli,-16.242800466,-69.499452704,INC,False
Caspapatac Montículo 2,chucuito,juli,-16.242937405,-69.498882244,INC,False
Caspapatac Montículo 3,chucuito,juli,-16.243046564,-69.498592437,INC,False
Maycopünqu Jisk'a,chucuito,juli,-16.239141822,-69.498404813,INC,False
Maycopünqu Jach`a,chucuito,juli,-16.23955844,-69.498068998,INC,False
Mayco Pünqu 1,chucuito,juli,-16.238816215,-69.498478852,INC,False
Mayco Pünqu 2,chucuito,juli,-16.238445543,-69.498496633,INC,False
Hacienda Castillo,chucuito,juli,-16.234478589,-69.493985891,INC,False
Carpuyo Montículo 1,chucuito,juli,-16.241238927,-69.49845688,INC,False
Carpuyo Montículo 2,chucuito,juli,-16.241546982,-69.498158219,INC,False
Hiropünqu,chucuito,juli,-16.229868476,-69.493908895,INC,False
Río Salado Montículo 1,chucuito,juli,-16.227229263,-69.493733894,INC,False
Río Salado Montículo 2,chucuito,juli,-16.225058049,-69.494448944,INC,False
Jacha Pünqu y Jiska Pünqu,chucuito,juli,-16.215511975,-69.490570383,INC,False
Hiropalca  Causilla,chucuito,juli,-16.216397958,-69.49053515,INC,False
Hiropalca Tumba,chucuito,juli,-16.216622286,-69.491256136,INC,False
Kalatirawe Monolito,chucuito,juli,-16.217181583,-69.487842483,INC,False
Kalatirawe Montículo,chucuito,juli,-16.217227319,-69.487608689,INC,False
Kalatirawe,chucuito,juli,-16.217397635,-69.488235979,INC,False
Hiropalca Montículo,chucuito,juli,-16.21053721,-69.491811774,INC,False
Tisnachuro Central Chullpa 1,chucuito,juli,-16.273073889,-69.45987542,INC,True
Tisnachuro Central  Chullpa 2,chucuito,juli,-16.271742869,-69.460873722,INC,True
Tisnachuro Central Montículo 1,chucuito,juli,-16.270797132,-69.459289872,INC,False
